date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-15,sh.600036,35.2071006000,35.2524238500,34.4637993000,34.5544458000,35.1799066500,48859891,1870048774.0000,2,0.236900,1,-1.777900,0
2020-01-16,sh.600036,34.6450923000,34.7629327500,34.2281184000,34.4094114000,34.5544458000,45384826,1723277982.0000,2,0.220000,1,-0.419700,0
2020-01-17,sh.600036,34.5000579000,34.5997690500,34.1556012000,34.3822174500,34.4094114000,42135711,1595789849.0000,2,0.204300,1,-0.079000,0
2020-01-20,sh.600036,34.6450923000,35.0348722500,34.4456700000,34.7266741500,34.3822174500,58580886,2244268938.0000,2,0.284000,1,1.001800,0
2020-01-21,sh.600036,34.4003467500,34.5816397500,34.1737305000,34.2553123500,34.7266741500,41720185,1580332561.0000,2,0.202200,1,-1.357300,0
2020-01-22,sh.600036,34.1737305000,34.5363165000,33.6751747500,34.2825063000,34.2553123500,53125460,2000618547.0000,2,0.257500,1,0.079400,0
2020-01-23,sh.600036,34.0196314500,34.1737305000,33.0406492500,33.3669766500,34.2825063000,78750274,2912304571.0000,2,0.381700,1,-2.670500,0
2020-02-03,sh.600036,30.6385170000,32.1795075000,30.6385170000,31.7534689500,33.3669766500,113106226,3944795003.0000,2,0.548300,1,-4.835600,0
2020-02-04,sh.600036,31.7625336000,32.1613782000,31.4362062000,32.0435377500,31.7534689500,122967652,4313054347.0000,2,0.596100,1,0.913500,0
2020-02-05,sh.600036,32.0344731000,32.1885721500,31.5721759500,32.0526024000,32.0435377500,80257198,2826862599.0000,2,0.389100,1,0.028300,0
2020-02-06,sh.600036,32.1795075000,32.4786409500,31.8441154500,32.4061237500,32.0526024000,73070159,2589474707.0000,2,0.354200,1,1.102900,0
2020-02-07,sh.600036,31.8169215000,32.1432489000,31.7353396500,32.1069903000,32.4061237500,67552464,2374190018.0000,2,0.327500,1,-0.923100,0
2020-02-10,sh.600036,31.8441154500,31.9438266000,31.6809517500,31.8169215000,32.1069903000,57504178,2016401930.0000,2,0.278800,1,-0.903400,0
2020-02-11,sh.600036,31.9982145000,32.4967702500,31.8622447500,32.2429600500,31.8169215000,55743628,1983770029.0000,2,0.270200,1,1.339000,0
2020-02-12,sh.600036,32.1795075000,32.3245419000,31.9438266000,32.2701540000,32.2429600500,40538973,1437177997.0000,2,0.196500,1,0.084300,0
2020-02-13,sh.600036,32.2067014500,32.2248307500,31.9075680000,31.9710205500,32.2701540000,42235080,1493775789.0000,2,0.204700,1,-0.927000,0
2020-02-14,sh.600036,31.9166326500,32.3698651500,31.9166326500,32.3064126000,31.9710205500,40339677,1431806484.0000,2,0.195500,1,1.049000,0
2020-02-17,sh.600036,32.2973479500,32.7868390500,32.0707317000,32.7868390500,32.3064126000,66942541,2396661832.0000,2,0.324500,1,1.487100,0
2020-02-18,sh.600036,32.6327400000,32.6327400000,32.2701540000,32.3608005000,32.7868390500,51639665,1846260235.0000,2,0.250300,1,-1.299400,0
2020-02-19,sh.600036,32.2701540000,32.5330288500,32.1432489000,32.2067014500,32.3608005000,41952131,1496142157.0000,2,0.203400,1,-0.476200,0
2020-02-20,sh.600036,32.3245419000,32.6780632500,31.9075680000,32.6146107000,32.2067014500,74600588,2658121245.0000,2,0.361600,1,1.266500,0
2020-02-21,sh.600036,32.5420935000,32.5692874500,32.1523135500,32.3064126000,32.6146107000,73031468,2603112503.0000,2,0.354000,1,-0.945000,0
2020-02-24,sh.600036,32.1704428500,32.3517358500,31.7534689500,31.7715982500,32.3064126000,79856482,2812039823.0000,2,0.387100,1,-1.655400,0
2020-02-25,sh.600036,31.5540466500,31.7987922000,31.2730425000,31.3908829500,31.7715982500,87373432,3032212325.0000,2,0.423500,1,-1.198300,0
2020-02-26,sh.600036,31.1914606500,31.7172103500,31.0464262500,31.5721759500,31.3908829500,77970475,2707591830.0000,2,0.378000,1,0.577500,0
2020-02-27,sh.600036,31.5359173500,32.0435377500,31.4543355000,31.9256973000,31.5721759500,68937853,2422074087.0000,2,0.334200,1,1.119700,0
2020-02-28,sh.600036,31.5903052500,31.8894387000,31.0011030000,31.0011030000,31.9256973000,83534097,2885398352.0000,2,0.404900,1,-2.896100,0
2020-03-02,sh.600036,31.0373616000,31.6174992000,30.9104565000,31.4996587500,31.0011030000,70429063,2438029173.0000,2,0.341400,1,1.608200,0
2020-03-03,sh.600036,31.6628224500,31.8169215000,31.2005253000,31.3818183000,31.4996587500,68607306,2380418310.0000,2,0.332600,1,-0.374100,0
2020-03-04,sh.600036,31.4362062000,31.5449820000,31.2186546000,31.5268527000,31.3818183000,56088606,1941800190.0000,2,0.271900,1,0.462200,0
2020-03-05,sh.600036,31.7172103500,32.9228088000,31.5449820000,32.8412269500,31.5268527000,135541300,4840609026.0000,2,0.657000,1,4.169100,0
2020-03-06,sh.600036,32.4877056000,32.6508693000,32.0979256500,32.0979256500,32.8412269500,67067378,2389764957.0000,2,0.325100,1,-2.263300,0
2020-03-09,sh.600036,31.6174992000,31.6174992000,30.9829737000,30.9829737000,32.0979256500,96659166,3318066994.0000,2,0.468600,1,-3.473600,0
2020-03-10,sh.600036,30.9920383500,31.6718871000,30.8923272000,31.4362062000,30.9829737000,66829810,2309858482.0000,2,0.324000,1,1.462800,0
2020-03-11,sh.600036,31.5087234000,31.7172103500,31.1914606500,31.2277192500,31.4362062000,56655064,1965764178.0000,2,0.274600,1,-0.663200,0
2020-03-12,sh.600036,31.1552020500,31.3546243500,30.8379393000,30.9648444000,31.2277192500,61918002,2118258080.0000,2,0.300200,1,-0.841800,0
2020-03-13,sh.600036,29.7320520000,30.4209654000,29.3694660000,30.2849956500,30.9648444000,114095770,3748370246.0000,2,0.553100,1,-2.195600,0
2020-03-16,sh.600036,30.2668663500,30.2668663500,28.6805526000,28.7077465500,30.2849956500,106602730,3445337101.0000,2,0.516800,1,-5.208000,0
2020-03-17,sh.600036,28.6896172500,29.5598236500,28.2001261500,28.7621344500,28.7077465500,84344133,2675433577.0000,2,0.408900,1,0.189500,0
2020-03-18,sh.600036,28.8981042000,29.2606902000,27.8828634000,27.9372513000,28.7621344500,82431704,2604923481.0000,2,0.399600,1,-2.867900,0
2020-03-19,sh.600036,27.6290532000,27.6290532000,26.0246101500,26.5684891500,27.9372513000,155945747,4591894342.0000,2,0.756000,1,-4.899400,0
2020-03-20,sh.600036,27.0126570000,28.2001261500,27.0126570000,28.1366736000,26.5684891500,134315310,4101898423.0000,2,0.651100,1,5.902400,0
2020-03-23,sh.600036,27.2030146500,27.6562471500,27.0851742000,27.3389844000,28.1366736000,92897116,2804113446.0000,2,0.450300,1,-2.835100,0
2020-03-24,sh.600036,28.2363847500,28.6896172500,27.9281866500,28.5627121500,27.3389844000,82535893,2585549433.0000,2,0.400100,1,4.476100,0
2020-03-25,sh.600036,29.2153669500,29.6232762000,29.1609790500,29.4510478500,28.5627121500,80952655,2629580314.0000,2,0.392400,1,3.110100,0
2020-03-26,sh.600036,29.0975265000,30.2940603000,29.0612679000,29.6595348000,29.4510478500,69463585,2281461462.0000,2,0.336700,1,0.707900,0
2020-03-27,sh.600036,30.0221208000,30.2124784500,29.4419832000,29.6595348000,29.6595348000,58177545,1911127945.0000,2,0.282000,1,0.000000,0
2020-03-30,sh.600036,29.1700437000,29.6595348000,28.8255870000,29.5960822500,29.6595348000,47749415,1541068106.0000,2,0.231500,1,-0.213900,0
2020-03-31,sh.600036,29.8408278000,29.8952157000,29.1519144000,29.2606902000,29.5960822500,37754006,1228383288.0000,2,0.183000,1,-1.133200,0
2020-04-01,sh.600036,29.1156558000,29.5960822500,29.0068800000,29.1247204500,29.2606902000,35814313,1157345796.0000,2,0.173600,1,-0.464700,0
2020-04-02,sh.600036,28.7802637500,29.3150781000,28.7440051500,29.3150781000,29.1247204500,28960147,929189673.0000,2,0.140400,1,0.653600,0
2020-04-03,sh.600036,29.0068800000,29.2969488000,28.9978153500,29.1428497500,29.3150781000,25161829,808697603.0000,2,0.122000,1,-0.587500,0
2020-04-07,sh.600036,29.7683106000,29.8045692000,29.3694660000,29.4782418000,29.1428497500,43184378,1406732994.0000,2,0.209300,1,1.150900,0
2020-04-08,sh.600036,29.4601125000,29.4601125000,29.1156558000,29.2063023000,29.4782418000,31813445,1024956344.0000,2,0.154200,1,-0.922500,0
2020-04-09,sh.600036,29.2697548500,29.3241427500,29.1065911500,29.2788195000,29.2063023000,28664595,924260480.0000,2,0.139000,1,0.248300,0
2020-04-10,sh.600036,29.3785306500,29.5145004000,28.9252981500,29.0975265000,29.2788195000,43743153,1409435238.0000,2,0.212000,1,-0.619200,0
2020-04-13,sh.600036,28.9343628000,29.1881730000,28.8437163000,28.9434274500,29.0975265000,23055549,737876564.0000,2,0.111800,1,-0.529600,0
2020-04-14,sh.600036,29.1700437000,29.6504701500,29.0793972000,29.6504701500,28.9434274500,42707944,1386006869.0000,2,0.207000,1,2.442800,0
2020-04-15,sh.600036,29.5416943500,29.5779529500,29.2969488000,29.3875953000,29.6504701500,23783848,771129191.0000,2,0.115300,1,-0.886600,0
2020-04-16,sh.600036,29.1881730000,29.3785306500,28.9706214000,29.0975265000,29.3875953000,29499982,947452268.0000,2,0.143000,1,-0.987000,0
2020-04-17,sh.600036,29.4147892500,30.0946380000,29.3150781000,29.7864399000,29.0975265000,69795242,2293965391.0000,2,0.338300,1,2.367600,0
2020-04-20,sh.600036,29.8136338500,29.9858622000,29.5054357500,29.8226985000,29.7864399000,33602426,1104349255.0000,2,0.162900,1,0.121700,0
2020-04-21,sh.600036,29.8226985000,29.9496036000,29.5326297000,29.5960822500,29.8226985000,32871489,1077331035.0000,2,0.159300,1,-0.759900,0
2020-04-22,sh.600036,29.4147892500,29.6867287500,29.3060134500,29.6685994500,29.5960822500,27943538,910099517.0000,2,0.135500,1,0.245000,0
2020-04-23,sh.600036,29.7501813000,29.8770864000,29.5960822500,29.6323408500,29.6685994500,24614551,807219190.0000,2,0.119300,1,-0.122200,0
2020-04-24,sh.600036,29.6595348000,29.6595348000,29.3785306500,29.4691771500,29.6323408500,22259784,723766561.0000,2,0.107900,1,-0.550600,0
2020-04-27,sh.600036,29.6867287500,30.8016807000,29.6595348000,30.4390947000,29.4691771500,65341471,2197523211.0000,2,0.316700,1,3.291300,0
2020-04-28,sh.600036,30.4572240000,30.7291635000,30.1852845000,30.6929049000,30.4390947000,36651091,1234430064.0000,2,0.177700,1,0.833800,0
2020-04-29,sh.600036,30.7291635000,31.8169215000,30.7200988500,31.7444043000,30.6929049000,65876588,2288732967.0000,2,0.319300,1,3.425900,0
2020-04-30,sh.600036,31.8622447500,32.6780632500,31.7715982500,31.8078568500,31.7444043000,71533247,2544804889.0000,2,0.346800,1,0.199900,0
2020-05-06,sh.600036,31.3002364500,31.5268527000,30.9829737000,31.3908829500,31.8078568500,50173590,1731704264.0000,2,0.243200,1,-1.310900,0
2020-05-07,sh.600036,31.3636890000,31.3818183000,30.8651332500,31.2277192500,31.3908829500,29948465,1028793473.0000,2,0.145200,1,-0.519800,0
2020-05-08,sh.600036,31.5177880500,31.8894387000,31.3183657500,31.6990810500,31.2277192500,39215460,1371649847.0000,2,0.190100,1,1.509400,0
2020-05-11,sh.600036,31.7081457000,32.1613782000,31.6174992000,31.6900164000,31.6990810500,29584829,1040649468.0000,2,0.143400,1,-0.028600,0
2020-05-12,sh.600036,31.7172103500,31.7625336000,31.2186546000,31.3546243500,31.6900164000,34963382,1213003373.0000,2,0.169500,1,-1.058300,0
2020-05-13,sh.600036,31.1823960000,31.4362062000,30.9104565000,31.3093011000,31.3546243500,27983494,961672947.0000,2,0.135700,1,-0.144500,0
2020-05-14,sh.600036,31.1733313500,31.2005253000,30.6385170000,30.7563574500,31.3093011000,42063019,1430362916.0000,2,0.203900,1,-1.766100,0
2020-05-15,sh.600036,30.9920383500,31.0554909000,30.5478705000,30.6838402500,30.7563574500,36192753,1226127432.0000,2,0.175400,1,-0.235800,0
2020-05-18,sh.600036,30.4753533000,31.0917495000,30.3756421500,30.6385170000,30.6838402500,36370093,1233862748.0000,2,0.176300,1,-0.147700,0
2020-05-19,sh.600036,31.1823960000,31.2549132000,30.8741979000,31.0645555500,30.6385170000,26430448,904985389.0000,2,0.128100,1,1.390500,0
2020-05-20,sh.600036,31.0645555500,31.7534689500,30.9104565000,31.4362062000,31.0645555500,38051757,1313430550.0000,2,0.184500,1,1.196400,0
2020-05-21,sh.600036,31.6446931500,31.8894387000,31.4180769000,31.4815294500,31.4362062000,36252721,1263004925.0000,2,0.175700,1,0.144200,0
2020-05-22,sh.600036,31.2639778500,31.4452708500,30.4662886500,30.4844179500,31.4815294500,42396439,1439086679.0000,2,0.205500,1,-3.167300,0
2020-05-25,sh.600036,30.7472928000,30.7654221000,29.8226985000,29.9949268500,30.4844179500,43264917,1434823005.0000,2,0.209700,1,-1.605700,0
2020-05-26,sh.600036,30.1852845000,30.3575128500,29.9949268500,30.3031249500,29.9949268500,32246077,1072932146.0000,2,0.156300,1,1.027500,0
2020-05-27,sh.600036,30.4300300500,30.8016807000,30.1308966000,30.3031249500,30.3031249500,32083331,1077247848.0000,2,0.155500,1,0.000000,0
2020-05-28,sh.600036,30.4390947000,31.4543355000,30.3031249500,31.0192323000,30.3031249500,69362331,2378620601.0000,2,0.336200,1,2.363100,0
2020-05-29,sh.600036,30.6929049000,30.9376504500,30.5478705000,30.6566463000,31.0192323000,37237481,1260905545.0000,2,0.180500,1,-1.168900,0
2020-06-01,sh.600036,30.9557797500,31.6990810500,30.9104565000,31.5631113000,30.6566463000,48823746,1693982687.0000,2,0.236700,1,2.956800,0
2020-06-02,sh.600036,31.3183657500,31.9619559000,31.3093011000,31.7625336000,31.5631113000,49295713,1726597705.0000,2,0.239000,1,0.631800,0
2020-06-03,sh.600036,32.1341842500,32.6327400000,31.7444043000,31.9256973000,31.7625336000,61018691,2169754932.0000,2,0.295800,1,0.513700,0
2020-06-04,sh.600036,32.1795075000,32.2248307500,31.7897275500,31.8622447500,31.9256973000,25756086,909222198.0000,2,0.124900,1,-0.198700,0
2020-06-05,sh.600036,31.9982145000,32.1523135500,31.5540466500,31.9438266000,31.8622447500,32717303,1146499654.0000,2,0.158600,1,0.256000,0
2020-06-08,sh.600036,32.2248307500,32.8049683500,32.1795075000,32.3336065500,31.9438266000,50180979,1796585383.0000,2,0.243300,1,1.220200,0
2020-06-09,sh.600036,32.2792186500,32.3517358500,31.9619559000,32.2067014500,32.3336065500,30093079,1067277929.0000,2,0.145900,1,-0.392500,0
2020-06-10,sh.600036,32.3064126000,32.3154772500,31.8894387000,32.0344731000,32.2067014500,27273061,964770416.0000,2,0.132200,1,-0.534800,0
2020-06-11,sh.600036,31.9166326500,32.0163438000,31.1008141500,31.2458485500,32.0344731000,58892745,2040709558.0000,2,0.285500,1,-2.461800,0
2020-06-12,sh.600036,30.8107453500,31.2730425000,30.5478705000,31.2730425000,31.2458485500,54661576,1865053466.0000,2,0.265000,1,0.087000,0
2020-06-15,sh.600036,30.8560686000,30.9829737000,30.3303189000,30.4300300500,31.2730425000,65434347,2209023835.0000,2,0.317200,1,-2.695700,0
2020-06-16,sh.600036,30.8198100000,30.9829737000,30.6475816500,30.9467151000,30.4300300500,38163105,1298977209.0000,2,0.185000,1,1.697900,0
2020-06-17,sh.600036,30.8198100000,31.1008141500,30.6657109500,31.0011030000,30.9467151000,30627774,1042779922.0000,2,0.148500,1,0.175800,0
2020-06-18,sh.600036,30.7110342000,30.8741979000,29.9314743000,30.7200988500,31.0011030000,92293933,3090987273.0000,2,0.447400,1,-0.906400,0
2020-06-19,sh.600036,30.6385170000,31.1280081000,30.4572240000,30.6929049000,30.7200988500,67949603,2299545222.0000,2,0.329400,1,-0.088500,0
2020-06-22,sh.600036,30.5116119000,30.6838402500,30.2124784500,30.3665775000,30.6929049000,59581469,1997593331.0000,2,0.288800,1,-1.063200,0
2020-06-23,sh.600036,30.1852845000,30.4028361000,30.0130561500,30.2306077500,30.3665775000,45252939,1509296732.0000,2,0.219400,1,-0.447800,0
2020-06-24,sh.600036,30.3847068000,30.7835514000,30.3756421500,30.7291635000,30.2306077500,47989117,1621575075.0000,2,0.232600,1,1.649200,0
2020-06-29,sh.600036,30.9739090500,31.0917495000,30.3575128500,30.4934826000,30.7291635000,56729748,1915098031.0000,2,0.275000,1,-0.767000,0
2020-06-30,sh.600036,30.6838402500,30.7835514000,30.4934826000,30.5659998000,30.4934826000,39156798,1322157814.0000,2,0.189800,1,0.237800,0
2020-07-01,sh.600036,30.6294523500,31.5449820000,30.4662886500,31.5359173500,30.5659998000,79909645,2741317357.0000,2,0.387400,1,3.173200,0
2020-07-02,sh.600036,31.4090122500,32.1523135500,31.0917495000,31.9982145000,31.5359173500,124517798,4347489231.0000,2,0.603600,1,1.465900,0
2020-07-03,sh.600036,32.0888610000,33.3216534000,32.0435377500,33.3035241000,31.9982145000,153570417,5583630477.0000,2,0.744400,1,4.079300,0
2020-07-06,sh.600036,33.7023687000,36.6302506500,33.7023687000,36.6302506500,33.3035241000,187492888,7369658960.0000,2,0.908900,1,9.989100,0
2020-07-07,sh.600036,37.8902370000,39.2499345000,36.7118325000,37.2194529000,36.6302506500,201633829,8389893483.0000,2,0.977400,1,1.608500,0
2020-07-08,sh.600036,37.0744185000,37.9536895500,36.2314060500,36.7118325000,37.2194529000,182703889,7454256185.0000,2,0.885700,1,-1.363900,0
2020-07-09,sh.600036,36.7208971500,36.8206083000,35.8325614500,36.1770181500,36.7118325000,169323629,6759559094.0000,2,0.820800,1,-1.456800,0
2020-07-10,sh.600036,36.1770111500,36.4480350000,34.6256332500,34.8125462500,36.1770111500,152815945,5784778253.0000,2,0.740800,1,-3.771600,0
2020-07-13,sh.600036,34.5882506500,35.5134700000,34.2704985500,34.8592745000,34.8125462500,163406373,6086294085.0000,2,0.792100,1,0.134200,0
2020-07-14,sh.600036,34.6443245500,34.9714223000,33.8592899500,34.1209681500,34.8592745000,131086591,4821059904.0000,2,0.635400,1,-2.118000,0
2020-07-15,sh.600036,34.5695593500,34.5975963000,33.3639705000,33.5135009000,34.1209681500,134114248,4838521682.0000,2,0.650100,1,-1.780300,0
2020-07-16,sh.600036,33.6910682500,34.1863877000,33.2611683500,33.2705140000,33.5135009000,142952326,5153628340.0000,2,0.693000,1,-0.725000,0
2020-07-17,sh.600036,33.5228465500,33.8312530000,32.9994901500,33.7191052000,33.2705140000,116991781,4182751219.0000,2,0.567100,1,1.348300,0
2020-07-20,sh.600036,33.7377965000,34.9994592500,33.5041552500,34.8312375500,33.7191052000,159415734,5884589656.0000,2,0.772800,1,3.298200,0
2020-07-21,sh.600036,34.8312375500,34.9901136000,34.1303138000,34.4293746000,34.8312375500,83162093,3062989302.9000,2,0.403100,1,-1.153700,0
2020-07-22,sh.600036,34.3733007000,34.6723615000,33.8873269000,34.0555486000,34.4293746000,99881181,3656733629.3400,2,0.484200,1,-1.085800,0
2020-07-23,sh.600036,33.8125617000,34.0275116500,32.9434162500,33.2705140000,34.0555486000,119707588,4272039760.6700,2,0.580300,1,-2.305200,0
2020-07-24,sh.600036,33.1770575000,33.4574270000,31.8967034500,32.3359490000,33.2705140000,130419436,4555965917.2400,2,0.632200,1,-2.809000,0
2020-07-27,sh.600036,32.6537011000,32.6817380500,31.7845556500,32.0088512500,32.3359490000,89346903,3062209384.2300,2,0.433100,1,-1.011600,0
2020-07-28,sh.600036,32.3920229000,32.5976272000,31.9714686500,32.3172577000,32.0088512500,78035052,2693238172.0400,2,0.378300,1,0.963500,0
2020-07-29,sh.600036,32.2424925000,33.0368727500,31.9901599500,32.7751945500,32.3172577000,96913071,3381773114.0400,2,0.469800,1,1.417000,0
2020-07-30,sh.600036,32.7565032500,32.8686510500,32.2238012000,32.2985664000,32.7751945500,79887927,2776830172.0800,2,0.387300,1,-1.454200,0
2020-07-31,sh.600036,32.3359490000,33.0368727500,32.2331468500,32.5228620000,32.2985664000,98989455,3456763749.1900,2,0.479900,1,0.694400,0
2020-08-03,sh.600036,32.8966880000,33.0742553500,32.5041707000,32.7097750000,32.5228620000,102185800,3573570193.3700,2,0.495400,1,0.574700,0
2020-08-04,sh.600036,32.8406141000,34.7190897500,32.7097750000,34.2798442000,32.7097750000,235440404,8524612075.1100,2,1.141300,1,4.800000,0
2020-08-05,sh.600036,34.0181660000,34.2611529000,33.4667726500,33.9247095000,34.2798442000,106065970,3842397075.8800,2,0.514200,1,-1.036000,0
2020-08-06,sh.600036,34.0462029500,34.8873114500,33.9620921000,34.5975963000,33.9247095000,125242884,4621511196.9000,2,0.607100,1,1.983500,0
2020-08-07,sh.600036,34.4667572000,34.4667572000,33.8312530000,34.2144246500,34.5975963000,89795414,3286449488.1200,2,0.435300,1,-1.107500,0
2020-08-10,sh.600036,34.2985355000,34.9620766500,33.5415378500,34.5789050000,34.2144246500,122448139,4519789795.5200,2,0.593600,1,1.065300,0
2020-08-11,sh.600036,34.7190897500,36.2611220000,34.7190897500,35.0835701000,34.5789050000,173638283,6622998621.9600,2,0.841700,1,1.459500,0
2020-08-12,sh.600036,35.3078657000,35.7564569000,34.6069419500,35.3172113500,35.0835701000,93003691,3505241801.0200,2,0.450800,1,0.666000,0
