date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-15,sh.600000,10.6140496200,10.6482609000,10.4772045000,10.4772045000,10.6311552600,31897217,392531149.0000,2,0.113500,1,-1.448100,0
2020-01-16,sh.600000,10.5028629600,10.5285214200,10.4002291200,10.4344404000,10.4772045000,22454876,274130148.0000,2,0.079900,1,-0.408200,0
2020-01-17,sh.600000,10.4515460400,10.5114157800,10.4002291200,10.4600988600,10.4344404000,17593111,215028083.0000,2,0.062600,1,0.245900,0
2020-01-20,sh.600000,10.4857573200,10.4943101400,10.4258875800,10.4772045000,10.4600988600,23734609,290296136.0000,2,0.084500,1,0.163500,0
2020-01-21,sh.600000,10.4344404000,10.4772045000,10.2975952800,10.3318065600,10.4772045000,31787474,384580844.0000,2,0.113100,1,-1.387800,0
2020-01-22,sh.600000,10.0067994000,10.1265388800,9.9640353000,10.0666691400,10.3318065600,78133556,917203481.0000,2,0.278000,1,-2.566200,0
2020-01-23,sh.600000,10.0495635000,10.0495635000,9.6817922400,9.7074507000,10.0666691400,76534796,879151046.0000,2,0.272300,1,-3.568400,0
2020-02-03,sh.600000,8.7409820400,9.1429645800,8.7409820400,8.9548025400,9.7074507000,95367382,997686058.0000,2,0.339300,1,-7.753300,0
2020-02-04,sh.600000,8.9890138200,9.1857286800,8.9633553600,9.1173061200,8.9548025400,66783767,710434836.0000,2,0.237600,1,1.814700,0
2020-02-05,sh.600000,9.1429645800,9.2199399600,9.0488835600,9.1515174000,9.1173061200,45046658,481639081.0000,2,0.160300,1,0.375200,0
2020-02-06,sh.600000,9.2455984200,9.2883625200,9.1087533000,9.2284927800,9.1515174000,38023801,408101901.0000,2,0.135300,1,0.841100,0
2020-02-07,sh.600000,9.1771758600,9.3311266200,9.1258589400,9.2883625200,9.2284927800,31896956,342581621.0000,2,0.113500,1,0.648700,0
2020-02-10,sh.600000,9.2028343200,9.2712568800,9.1600702200,9.2113871400,9.2883625200,34032121,366391170.0000,2,0.121100,1,-0.828700,0
2020-02-11,sh.600000,9.2541512400,9.3653379000,9.2199399600,9.2883625200,9.2113871400,34856302,378583345.0000,2,0.124000,1,0.835600,0
2020-02-12,sh.600000,9.2712568800,9.3054681600,9.2028343200,9.2883625200,9.2883625200,26313927,284693716.0000,2,0.093600,1,0.000000,0
2020-02-13,sh.600000,9.2541512400,9.3054681600,9.2028343200,9.2028343200,9.2883625200,22630613,244794981.0000,2,0.080500,1,-0.920800,0
2020-02-14,sh.600000,9.2028343200,9.3054681600,9.1857286800,9.2883625200,9.2028343200,22360549,242102421.0000,2,0.079600,1,0.929400,0
2020-02-17,sh.600000,9.3054681600,9.5877112200,9.2883625200,9.5620527600,9.2883625200,41343320,457641227.0000,2,0.147100,1,2.946600,0
2020-02-18,sh.600000,9.4850773800,9.5620527600,9.4423132800,9.4594189200,9.5620527600,30162703,334474238.0000,2,0.107300,1,-1.073300,0
2020-02-19,sh.600000,9.4765245600,9.6133696800,9.4423132800,9.5021830200,9.4594189200,25100157,279375283.0000,2,0.089300,1,0.452100,0
2020-02-20,sh.600000,9.5534999400,9.6390281400,9.4594189200,9.6048168600,9.5021830200,36656416,408938116.0000,2,0.130400,1,1.080100,0
2020-02-21,sh.600000,9.6048168600,9.7416619800,9.5877112200,9.6646866000,9.6048168600,38949418,439706991.0000,2,0.138600,1,0.623300,0
2020-02-24,sh.600000,9.6048168600,9.6988978800,9.4936302000,9.5449471200,9.6646866000,44738622,501186013.0000,2,0.159200,1,-1.238900,0
2020-02-25,sh.600000,9.4679717400,9.5363943000,9.4166548200,9.4850773800,9.5449471200,48324564,535241824.0000,2,0.172000,1,-0.627200,0
2020-02-26,sh.600000,9.4166548200,9.6903450600,9.4166548200,9.5791584000,9.4850773800,51906287,581437742.0000,2,0.184700,1,0.991900,0
2020-02-27,sh.600000,9.5791584000,9.6646866000,9.5192886600,9.5877112200,9.5791584000,33029824,370549707.0000,2,0.117500,1,0.089300,0
2020-02-28,sh.600000,9.5021830200,9.5620527600,9.2798097000,9.2798097000,9.5877112200,50137988,550529618.0000,2,0.178400,1,-3.211400,0
2020-03-02,sh.600000,9.3653379000,9.4936302000,9.3396794400,9.4423132800,9.2798097000,39245056,432698824.0000,2,0.139600,1,1.751100,0
2020-03-03,sh.600000,9.5192886600,9.6048168600,9.4423132800,9.4594189200,9.4423132800,39332460,437422565.0000,2,0.140000,1,0.181200,0
